Date,1COV.DE,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,ENR.DE,EOAN.DE,FRE.DE,HEI.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,ZAL.DE
2021-10-14,54.018497467041016,261.0202331542969,110.08340454101562,176.8464813232422,56.39985275268555,44.402896881103516,92.94490051269531,73.97660827636719,78.18865966796875,5.912467956542969,93.13973236083984,139.86170959472656,10.490762710571289,52.779998779296875,15.443869590759277,23.30040740966797,9.465937614440918,38.741371154785156,57.74176788330078,73.99192810058594,151.8048858642578,36.3165283203125,71.3177719116211,187.66189575195312,184.97779846191406,222.85498046875,81.19767761230469,43.384368896484375,84.10494232177734,29.385393142700195,122.19401550292969,55.038002014160156,133.2587890625,526.8030395507812,112.43462371826172,48.3167839050293,148.9197998046875,78.0199966430664
2021-10-15,53.92596435546875,268.2545166015625,111.67740631103516,178.82745361328125,56.321868896484375,44.5004768371582,92.45145416259766,75.0045394897461,78.98883056640625,5.97119140625,94.64990234375,141.4456024169922,10.822689056396484,52.7599983215332,15.440130233764648,23.656591415405273,9.655293464660645,38.45927429199219,57.870330810546875,73.29246520996094,151.55828857421875,36.434471130371094,71.68627166748047,187.80836486816406,185.319091796875,225.20518493652344,83.17001342773438,43.30691146850586,83.5061264038086,30.70587158203125,123.48479461669922,55.42463684082031,133.44773864746094,522.8301391601562,112.14029693603516,48.663333892822266,150.89466857910156,79.36000061035156
2021-10-18,52.14940643310547,264.5884704589844,110.18059539794922,178.77342224121094,55.50736618041992,43.32024383544922,92.984375,73.98517608642578,78.47443389892578,6.072978496551514,93.15860748291016,141.4456024169922,10.849242210388184,52.90999984741211,15.402759552001953,23.42902946472168,9.609774589538574,38.346435546875,57.392822265625,73.38699340820312,150.9171600341797,36.89641189575195,70.22940826416016,188.54063415527344,182.63755798339844,224.0991973876953,80.3681869506836,43.44246292114258,82.0380630493164,30.543201446533203,122.21357727050781,55.09599685668945,132.12515258789062,524.8165893554688,112.2874526977539,49.10108947753906,146.09422302246094,79.54000091552734
2021-10-19,51.94584274291992,262.34002685546875,109.01425170898438,179.25965881347656,55.23009490966797,43.93824005126953,91.97774505615234,73.2056655883789,78.3791732788086,6.231532096862793,91.98822784423828,143.74942016601562,10.811307907104492,53.7400016784668,15.316802978515625,23.735742568969727,9.729942321777344,38.22419357299805,59.11919403076172,72.51738739013672,152.248779296875,37.2109260559082,70.58934020996094,190.44461059570312,180.97987365722656,229.8594970703125,79.63086700439453,43.66514205932617,82.057373046875,30.88767433166504,121.9788818359375,55.96593475341797,132.8620147705078,532.3650512695312,112.2874526977539,49.5753173828125,144.3168487548828,79.72000122070312
2021-10-20,51.279632568359375,263.0243225097656,108.91705322265625,179.29568481445312,55.00480651855469,44.769981384277344,92.27381134033203,72.52894592285156,78.07434844970703,6.15617036819458,92.29969787597656,140.14968872070312,10.9004545211792,52.849998474121094,15.443869590759277,24.052350997924805,9.831903457641602,38.35113525390625,59.082462310791016,72.30943298339844,152.9392547607422,36.975040435791016,70.22940826416016,193.37376403808594,176.7869110107422,231.2419891357422,78.85667419433594,44.062095642089844,81.65172576904297,31.452226638793945,121.09880065917969,56.73921203613281,134.2412872314453,537.1324462890625,112.8761215209961,49.356441497802734,141.90145874023438,80.36000061035156
2021-10-21,50.89101028442383,269.3787536621094,108.2561264038086,178.80943298339844,54.415592193603516,44.78392028808594,93.61598205566406,72.16059875488281,78.03624725341797,6.2374043464660645,92.65837097167969,140.58164978027344,10.976323127746582,52.959999084472656,15.425182342529297,23.84457778930664,9.879241943359375,38.76017761230469,58.531494140625,72.23381805419922,153.97496032714844,37.274810791015625,70.04087829589844,198.59742736816406,177.12818908691406,230.3664093017578,80.33132934570312,44.48809814453125,81.13017272949219,31.36610984802246,117.20690155029297,56.68121337890625,130.91595458984375,560.1751708984375,113.80817413330078,48.99164962768555,145.68406677246094,81.33999633789062
2021-10-22,51.24262237548828,271.0406799316406,106.66212463378906,178.9715118408203,54.415592193603516,44.90473175048828,94.76075744628906,73.4026870727539,78.79830932617188,6.219787120819092,93.07366180419922,139.95770263671875,11.018050193786621,53.599998474121094,15.316802978515625,23.656591415405273,9.924760818481445,38.56740951538086,58.696781158447266,73.12232971191406,152.39674377441406,37.94806671142578,70.36653137207031,197.6210479736328,177.32321166992188,228.3387908935547,81.47417449951172,44.80760192871094,81.45854949951172,31.701013565063477,118.59546661376953,57.06785583496094,131.84173583984375,558.3873901367188,114.44589233398438,49.30172348022461,148.95018005371094,80.13999938964844
2021-10-25,51.85331344604492,271.138427734375,104.99036407470703,178.70138549804688,54.76219177246094,45.03019332885742,94.2081069946289,74.9874038696289,78.39823150634766,6.3362555503845215,92.07318115234375,138.46981811523438,11.044605255126953,53.20000076293945,15.212162971496582,23.44881820678711,9.822799682617188,38.92943572998047,58.843711853027344,71.79901885986328,152.248779296875,38.355953216552734,71.03497314453125,198.40216064453125,176.640625,227.5553741455078,85.32669067382812,45.504695892333984,80.5313491821289,31.18430519104004,121.00101470947266,57.76380157470703,131.3316192626953,563.9493408203125,114.93643951416016,48.827491760253906,155.90017700195312,80.0
2021-10-26,52.13090133666992,273.6802062988281,106.85651397705078,181.25863647460938,55.05679702758789,45.34151077270508,95.39237213134766,75.74121856689453,78.8935775756836,6.306893348693848,93.59278869628906,139.23776245117188,11.287385940551758,54.540000915527344,15.303723335266113,24.408536911010742,9.946608543395996,37.34028625488281,59.3028564453125,73.00889587402344,155.50384521484375,38.57709503173828,71.21492767333984,197.7187042236328,182.14999389648438,231.841064453125,86.45111083984375,45.69832992553711,80.80178833007812,31.815834045410156,123.28922271728516,57.76380157470703,133.54220581054688,554.4144897460938,115.96659851074219,48.71805191040039,156.54580688476562,81.04000091552734
2021-10-27,52.334468841552734,272.89813232421875,106.75931549072266,181.16859436035156,54.97880935668945,45.16029739379883,95.155517578125,75.85258483886719,78.55064392089844,6.145403861999512,94.57439422607422,138.99777221679688,10.505936622619629,53.91999816894531,15.184135437011719,24.507476806640625,10.084983825683594,38.285316467285156,59.33958435058594,72.53629302978516,156.14500427246094,38.58692169189453,71.62628173828125,197.7187042236328,182.83258056640625,235.389404296875,86.10087585449219,44.86568832397461,81.07222747802734,32.16987609863281,122.13534545898438,57.10652160644531,132.918701171875,545.4755249023438,117.8797607421875,49.06460952758789,154.87477111816406,80.37999725341797
