Date,AAPL,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,BKNG,CMCSA,COST,CSCO,GILD,GOOG,GOOGL,HON,INTC,INTU,ISRG,KLAC,LRCX,MDLZ,MELI,META,MSFT,MU,NFLX,NVDA,PANW,PDD,PEP,QCOM,REGN,SBUX,SNPS,TMUS,TSLA,TXN,VRTX
2021-01-04,127.16415405273438,485.3399963378906,138.32273864746094,159.09716796875,84.67948913574219,92.30000305175781,205.98712158203125,159.3314971923828,391.1867370605469,2164.080078125,46.64659118652344,363.1432189941406,40.18952560424805,53.081329345703125,86.41200256347656,86.30650329589844,195.9852294921875,45.504310607910156,364.2201843261719,266.6666564941406,250.9932861328125,461.4231872558594,54.11564254760742,1640.0,268.94000244140625,211.99661254882812,72.79679870605469,522.8599853515625,130.84010314941406,117.22000122070312,166.77999877929688,132.71214294433594,139.0106658935547,482.8599853515625,97.03307342529297,254.6999969482422,131.85440063476562,243.2566680908203,148.27391052246094,229.42999267578125
2021-01-05,128.7363739013672,485.69000244140625,140.7951202392578,158.65460205078125,87.34066009521484,92.7699966430664,206.9867706298828,160.92550659179688,393.8362731933594,2188.070068359375,46.36827087402344,358.9305114746094,40.20780944824219,52.98418426513672,87.0459976196289,87.00250244140625,196.46592712402344,46.365482330322266,361.4471130371094,268.3500061035156,256.2574462890625,477.3792724609375,54.17170333862305,1650.0,270.9700012207031,212.2011260986328,75.95247650146484,520.7999877929688,133.74606323242188,116.71666717529297,187.1999969482422,133.10768127441406,142.6894989013672,483.45001220703125,97.35307312011719,258.8900146484375,131.2769317626953,245.0366668701172,149.361572265625,228.5800018310547
2021-01-06,124.40291595458984,466.30999755859375,141.42984008789062,158.0990447998047,88.53964233398438,90.33000183105469,211.97605895996094,156.91900634765625,391.40753173828125,2249.81005859375,46.90635681152344,353.46636962890625,40.59178924560547,54.7061767578125,86.7645034790039,86.14399719238281,200.04727172851562,46.814388275146484,353.7355041503906,264.2633361816406,255.69822692871094,479.251953125,54.068931579589844,1571.97998046875,263.30999755859375,206.6988983154297,75.80500030517578,500.489990234375,125.86132049560547,115.09333038330078,176.75,131.47947692871094,141.5287628173828,470.0899963378906,98.05894470214844,249.6999969482422,130.9583282470703,251.9933319091797,150.1019287109375,226.64999389648438
2021-01-07,128.64793395996094,477.739990234375,147.40724182128906,158.99359130859375,92.17559051513672,95.16000366210938,212.6758575439453,158.10800170898438,407.90252685546875,2239.85009765625,46.9991340637207,351.4603576660156,41.10375213623047,55.20952224731445,89.36250305175781,88.71700286865234,200.3771514892578,47.81296920776367,361.2120056152344,269.4033203125,268.2127380371094,496.5980224609375,53.96615219116211,1597.969970703125,268.739990234375,212.5808868408203,77.77115631103516,508.8900146484375,133.1399383544922,121.03666687011719,180.1199951171875,131.0563507080078,145.75054931640625,481.20001220703125,97.26835632324219,258.8399963378906,132.61111450195312,272.0133361816406,153.50213623046875,232.89999389648438
2021-01-08,129.7583770751953,485.1000061035156,148.47764587402344,161.06515502929688,93.15037536621094,94.58000183105469,216.7381134033203,159.13499450683594,409.9723815917969,2281.5400390625,47.81553649902344,353.38995361328125,41.195167541503906,55.66872787475586,90.3604965209961,89.8915023803711,197.9456024169922,47.31825637817383,367.5128173828125,272.9166564941406,273.0237731933594,484.2134704589844,54.36791229248047,1719.0,267.57000732421875,213.87612915039062,76.1097640991211,510.3999938964844,132.46893310546875,122.18333435058594,180.77000427246094,132.6293487548828,146.6304931640625,498.7300109863281,99.45183563232422,262.79998779296875,134.4729766845703,293.3399963378906,156.44532775878906,237.0
2021-01-11,126.74163055419922,474.239990234375,149.95541381835938,158.67340087890625,95.48985290527344,97.25,215.9020538330078,155.7104949951172,410.0828552246094,2221.27001953125,47.79698181152344,347.7252502441406,41.469444274902344,55.200687408447266,88.33599853515625,87.81449890136719,196.37167358398438,47.21747970581055,365.4321594238281,271.2166748046875,278.7411193847656,498.5478820800781,53.34016036987305,1761.550048828125,256.8399963378906,211.80184936523438,77.3386001586914,499.1000061035156,135.90870666503906,121.5999984741211,172.49000549316406,130.70680236816406,146.13436889648438,502.9200134277344,98.44481658935547,260.42999267578125,132.35223388671875,270.39666748046875,156.5823974609375,234.63999938964844
2021-01-12,126.56473541259766,471.6499938964844,150.70376586914062,159.1912841796875,97.48814392089844,95.36000061035156,215.01144409179688,156.04150390625,413.4222717285156,2196.340087890625,46.39609909057617,347.9068298339844,41.86255645751953,54.82097244262695,87.32749938964844,86.87149810791016,196.8617706298828,48.774906158447266,358.8858947753906,262.80999755859375,280.5536804199219,517.8147583007812,53.5550537109375,1810.0899658203125,251.08999633789062,209.30882263183594,78.11524200439453,494.25,134.54425048828125,123.49333190917969,169.47999572753906,130.0996551513672,144.5804443359375,505.75,96.76953887939453,258.5799865722656,128.1306610107422,283.14666748046875,157.48731994628906,229.3800048828125
2021-01-13,128.6184844970703,472.04998779296875,150.12594604492188,155.0481414794922,95.57759094238281,91.77999877929688,216.0565643310547,158.29449462890625,415.0965881347656,2182.419921875,46.53527069091797,350.5337219238281,41.469444274902344,54.3441162109375,87.72000122070312,87.36250305175781,195.10879516601562,52.173763275146484,358.1890563964844,270.48333740234375,279.6955871582031,508.219970703125,53.60176467895508,1798.18994140625,251.63999938964844,210.6819305419922,78.5576171875,507.7900085449219,135.01321411132812,121.93333435058594,164.8000030517578,131.16676330566406,147.3606414794922,511.8999938964844,96.83543395996094,257.1400146484375,127.94149017333984,284.8033447265625,156.6737823486328,227.10000610351562
2021-01-14,126.6728515625,463.2699890136719,151.0542449951172,152.45867919921875,103.13216400146484,90.79000091552734,219.61903381347656,156.37350463867188,415.88775634765625,2182.590087890625,45.99717712402344,346.1395568847656,41.27745819091797,55.10356140136719,87.00900268554688,86.5459976196289,196.60726928710938,54.28086471557617,358.7288818359375,265.71331787109375,292.9814147949219,538.4237060546875,53.54571533203125,1852.530029296875,245.63999938964844,207.44876098632812,79.92410278320312,500.8599853515625,131.7056884765625,121.05332946777344,167.25999450683594,130.4031982421875,150.5714874267578,517.9099731445312,95.8283920288086,257.9100036621094,124.14805603027344,281.6666564941406,156.94802856445312,226.1199951171875
2021-01-15,124.93354797363281,458.0799865722656,149.43438720703125,151.71478271484375,100.53923797607422,88.20999908447266,223.09970092773438,155.21249389648438,410.1656188964844,2119.22998046875,45.17148971557617,345.9580078125,41.5334358215332,55.9248161315918,86.80950164794922,86.38099670410156,194.1191864013672,52.75093078613281,364.1268310546875,259.47332763671875,293.222412109375,528.519775390625,53.46162414550781,1851.780029296875,251.36000061035156,207.08840942382812,79.35392761230469,497.9800109863281,128.30581665039062,121.62333679199219,161.1999969482422,130.0628662109375,147.0517120361328,517.9299926757812,96.30839538574219,258.9200134277344,126.72679138183594,275.38665771484375,154.64468383789062,225.5500030517578
2021-01-19,125.61157989501953,456.5,152.0773162841797,152.52459716796875,106.46593475341797,89.44999694824219,225.6261444091797,156.03799438476562,422.5115051269531,2163.0400390625,45.319923400878906,338.61212158203125,41.31402587890625,59.22749710083008,89.54299926757812,89.22350311279297,194.86370849609375,53.12654495239258,377.8082275390625,259.4700012207031,302.8155822753906,559.8818359375,53.386878967285156,1913.2099609375,261.1000061035156,210.77931213378906,84.05300903320312,501.7699890136719,129.9595947265625,121.3499984741211,168.7899932861328,130.67919921875,153.30490112304688,533.8900146484375,96.50602722167969,268.20001220703125,129.28562927246094,281.51666259765625,159.21481323242188,231.91000366210938
2021-01-20,129.73866271972656,469.7300109863281,151.40476989746094,152.8730010986328,105.1207046508789,88.75,229.3430938720703,163.16900634765625,424.91265869140625,2160.050048828125,45.347755432128906,345.136474609375,41.45115280151367,60.039920806884766,94.34500122070312,94.00350189208984,196.10777282714844,53.74951171875,382.2345275878906,266.19000244140625,293.415283203125,543.45263671875,53.34950637817383,1984.3399658203125,267.4800109863281,218.47268676757812,82.08686828613281,586.3400268554688,133.35693359375,123.51667022705078,170.9600067138672,130.00767517089844,154.08187866210938,542.27001953125,99.25420379638672,273.42999267578125,131.7249755859375,283.48333740234375,158.42877197265625,236.6999969482422
